,months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_date,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,ages_category,customer_category,Contract Years,total_premiums_paid,net_value_of_customer
160,216,36,454086,1992-11-10,IN,500/1000,1000,1152,0,615921,FEMALE,Associate,priv-house-serv,reading,unmarried,39600,-82400,2015-01-25,Parked Car,?,Minor Damage,Police,VA,Springfield,1681 Cherokee Hwy,0,1,YES,2,3,?,6160,560,1680,3920,Mercedes,E400,2014,N,Middle Aged,Long-Term Client,18.0,20736.0,14576.0
161,278,48,139484,1999-07-24,IN,500/1000,2000,1142,7000000,475588,FEMALE,MD,farming-fishing,dancing,not-in-family,0,-54000,2015-01-16,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Northbrook,7523 Oak Lane,12,1,?,2,0,?,76050,11700,11700,52650,Chevrolet,Silverado,1997,N,Middle Aged,Long-Term Client,23.166666666666668,26456.333333333336,-49593.666666666664
162,295,48,678849,1992-02-22,OH,500/1000,1000,1332,0,609409,FEMALE,MD,exec-managerial,polo,unmarried,49700,-59100,2015-01-28,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,NY,Hillsdale,1815 Cherokee Drive,20,2,NO,2,1,YES,86060,13240,13240,59580,Volkswagen,Passat,2002,N,Middle Aged,Long-Term Client,24.583333333333332,32745.0,-53315.0
163,112,30,346940,2002-09-13,OH,500/1000,1000,1166,0,479852,FEMALE,Masters,prof-specialty,sleeping,not-in-family,47700,-59300,2015-01-21,Single Vehicle Collision,Front Collision,Major Damage,Fire,SC,Arlington,9316 Pine Ave,3,1,YES,2,0,NO,107900,10790,21580,75530,Dodge,Neon,1997,Y,Young Adult,Established Client,9.333333333333334,10882.666666666668,-97017.33333333333
164,122,34,985436,2003-08-09,IL,250/500,500,1495,0,452249,FEMALE,Masters,prof-specialty,polo,unmarried,38100,-31400,2015-01-07,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,PA,Columbus,2733 Texas Drive,18,3,NO,2,0,YES,99990,18180,18180,63630,Mercedes,E400,2011,N,Middle Aged,Established Client,10.166666666666666,15199.166666666666,-84790.83333333333
165,108,29,237418,2007-12-04,IN,500/1000,1000,1337,0,441536,FEMALE,PhD,armed-forces,bungie-jumping,not-in-family,71400,0,2015-02-23,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,WV,Columbus,7684 Francis Ridge,4,3,NO,2,2,YES,61380,11160,5580,44640,Suburu,Legacy,2012,N,Young Adult,Established Client,9.0,12033.0,-49347.0
166,14,28,335780,2002-07-22,OH,250/500,2000,1587,0,601617,FEMALE,Associate,craft-repair,board-games,unmarried,0,-26900,2015-02-14,Single Vehicle Collision,Rear Collision,Major Damage,Fire,WV,Riverwood,8991 Embaracadero Ave,18,1,?,2,1,YES,71280,12960,12960,45360,Audi,A5,2012,Y,Young Adult,New Client,1.1666666666666667,1851.5,-69428.5
167,298,45,491392,1992-07-03,IL,500/1000,1000,1362,0,442598,MALE,High School,farming-fishing,yachting,unmarried,0,-51100,2015-02-27,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Northbend,4905 Francis Ave,18,3,NO,0,0,NO,64000,12800,6400,44800,Saab,95,1999,N,Middle Aged,Long-Term Client,24.833333333333332,33823.0,-30177.0
168,276,46,140880,2005-03-29,IL,250/500,500,1448,0,430987,FEMALE,Masters,machine-op-inspct,bungie-jumping,husband,0,-50000,2015-02-21,Parked Car,?,Trivial Damage,Police,SC,Hillsdale,7783 Lincoln Hwy,7,1,?,0,1,NO,5940,660,660,4620,Toyota,Highlander,2015,N,Middle Aged,Long-Term Client,23.0,33304.0,27364.0
169,47,37,962591,2008-03-16,IN,250/500,2000,1241,0,430104,MALE,High School,other-service,movies,not-in-family,75400,0,2015-01-05,Parked Car,?,Minor Damage,None,NY,Hillsdale,8749 Tree St,18,1,NO,1,0,NO,6700,670,670,5360,Jeep,Wrangler,2011,N,Middle Aged,Established Client,3.9166666666666665,4860.583333333334,-1839.416666666666
170,222,42,922565,1999-05-23,IL,250/500,500,1124,0,612904,MALE,Associate,armed-forces,hiking,not-in-family,0,0,2015-01-30,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Arlington,4985 Sky Lane,23,3,YES,0,0,?,51740,11940,7960,31840,Jeep,Wrangler,2006,N,Middle Aged,Long-Term Client,18.5,20794.0,-30946.0
171,119,28,288580,2012-11-22,OH,250/500,2000,1079,0,430886,MALE,High School,machine-op-inspct,hiking,husband,88800,0,2015-02-26,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,PA,Riverwood,7534 MLK Hwy,1,1,?,0,1,YES,53600,6700,6700,40200,Volkswagen,Jetta,2007,Y,Young Adult,Established Client,9.916666666666666,10700.083333333334,-42899.916666666664
172,73,29,154280,1993-01-29,IL,250/500,1000,1447,0,467947,MALE,College,protective-serv,board-games,wife,35100,-59900,2015-01-10,Multi-vehicle Collision,Rear Collision,Total Loss,Other,SC,Arlington,8689 Maple Hwy,15,3,YES,1,0,?,44910,4990,4990,34930,Dodge,Neon,2001,N,Young Adult,Established Client,6.083333333333333,8802.583333333332,-36107.41666666667
173,8,31,425973,2003-02-11,IN,250/500,500,1229,4000000,604804,FEMALE,MD,transport-moving,kayaking,wife,0,-88300,2015-02-23,Multi-vehicle Collision,Front Collision,Major Damage,Fire,PA,Hillsdale,9153 3rd Hwy,2,3,?,0,2,YES,48100,11100,7400,29600,Volkswagen,Jetta,2014,N,Middle Aged,New Client,0.6666666666666666,819.3333333333334,-47280.666666666664
174,294,44,477177,1990-08-15,IL,100/300,1000,1226,0,460308,FEMALE,PhD,farming-fishing,kayaking,unmarried,53900,0,2015-02-05,Vehicle Theft,?,Trivial Damage,None,WV,Riverwood,5904 1st Drive,3,1,NO,0,1,NO,6100,610,1220,4270,Ford,Fusion,2002,N,Middle Aged,Long-Term Client,24.5,30037.0,23937.0
175,324,46,648509,2010-03-06,IN,100/300,2000,897,6000000,618862,MALE,MD,tech-support,board-games,wife,0,-41300,2015-01-21,Single Vehicle Collision,Rear Collision,Minor Damage,Other,PA,Hillsdale,4519 Embaracadero St,13,1,?,1,0,YES,79600,15920,15920,47760,Jeep,Wrangler,2011,N,Middle Aged,Long-Term Client,27.0,24219.0,-55381.0
176,155,34,914815,1990-09-27,IN,100/300,500,1706,0,462479,MALE,Masters,protective-serv,dancing,other-relative,0,0,2015-01-07,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,OH,Hillsdale,9706 MLK Lane,1,1,NO,1,1,YES,77040,8560,8560,59920,Honda,Civic,1998,N,Middle Aged,Long-Term Client,12.916666666666666,22035.833333333332,-55004.16666666667
177,261,45,249048,2005-06-17,IL,250/500,1000,1254,0,457555,FEMALE,PhD,prof-specialty,kayaking,other-relative,0,-45100,2015-01-11,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Columbus,6012 Texas Hwy,16,1,YES,0,1,?,62590,11380,11380,39830,Volkswagen,Jetta,2003,N,Middle Aged,Long-Term Client,21.75,27274.5,-35315.5
178,245,40,144323,2001-09-14,IN,500/1000,500,885,0,459984,FEMALE,Masters,armed-forces,skydiving,other-relative,27000,-58900,2015-02-06,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,Northbend,4098 Weaver Ridge,0,1,YES,0,1,NO,85150,13100,13100,58950,Chevrolet,Malibu,1998,N,Middle Aged,Long-Term Client,20.416666666666668,18068.75,-67081.25
179,235,39,651861,2011-01-07,IL,100/300,500,1046,4000000,434982,MALE,MD,tech-support,exercise,wife,0,-31700,2015-01-24,Vehicle Theft,?,Trivial Damage,None,NY,Hillsdale,6193 1st Hwy,1,1,?,2,1,NO,4950,450,900,3600,Chevrolet,Silverado,2010,N,Middle Aged,Long-Term Client,19.583333333333332,20484.166666666668,15534.166666666668
180,53,36,125324,2003-09-13,OH,500/1000,2000,1712,0,614233,MALE,Associate,handlers-cleaners,basketball,not-in-family,72200,0,2015-02-18,Multi-vehicle Collision,Side Collision,Major Damage,Fire,VA,Riverwood,4053 Sky Lane,17,3,?,2,0,YES,51100,10220,5110,35770,Audi,A3,2006,N,Middle Aged,Established Client,4.416666666666667,7561.333333333333,-43538.666666666664
181,426,54,398102,1997-10-24,IL,500/1000,2000,1097,0,605258,FEMALE,Masters,adm-clerical,reading,not-in-family,29600,-22300,2015-01-12,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Springfield,8964 Francis St,13,1,YES,2,3,?,100800,16800,16800,67200,Dodge,Neon,1997,N,Middle Aged,Long-Term Client,35.5,38943.5,-61856.5
182,111,27,514065,2009-01-04,IN,250/500,500,1363,4000000,604377,FEMALE,Masters,tech-support,exercise,husband,51100,0,2015-01-17,Single Vehicle Collision,Side Collision,Total Loss,Police,VA,Springfield,9748 Sky Drive,12,1,YES,2,3,NO,90970,16540,16540,57890,Accura,RSX,2009,N,Young Adult,Established Client,9.25,12607.75,-78362.25
183,86,26,391652,1998-10-12,OH,100/300,500,1382,7000000,434923,MALE,JD,tech-support,cross-fit,other-relative,0,-30300,2015-01-12,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbend,2293 Washington Ave,11,1,?,1,1,YES,81840,14880,7440,59520,Chevrolet,Malibu,2011,Y,Young Adult,Established Client,7.166666666666667,9904.333333333334,-71935.66666666667
184,296,46,922167,1993-02-23,OH,100/300,1000,1141,7000000,476456,MALE,Masters,craft-repair,sleeping,not-in-family,0,0,2015-01-06,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Northbend,3656 Solo Ave,18,1,?,0,2,NO,54900,5490,5490,43920,Mercedes,C300,2013,N,Middle Aged,Long-Term Client,24.666666666666668,28144.666666666664,-26755.333333333336
185,125,35,442795,1996-07-07,OH,500/1000,500,1054,7000000,446788,MALE,JD,tech-support,cross-fit,husband,0,-51300,2015-02-25,Single Vehicle Collision,Front Collision,Total Loss,Fire,NY,Northbend,8579 Apache Drive,17,1,YES,2,3,NO,88660,8060,16120,64480,Mercedes,C300,2007,Y,Middle Aged,Established Client,10.416666666666666,10979.166666666666,-77680.83333333333
186,177,34,226330,2013-01-23,IL,100/300,2000,1057,0,477382,FEMALE,JD,tech-support,bungie-jumping,unmarried,0,-57700,2015-02-16,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,NC,Riverwood,2003 Maple Hwy,22,3,?,1,1,NO,18000,2250,2250,13500,Audi,A3,2009,N,Middle Aged,Long-Term Client,14.75,15590.75,-2409.25
187,238,39,134430,2006-12-06,IN,250/500,2000,1488,0,600275,FEMALE,JD,protective-serv,exercise,other-relative,0,-39200,2015-02-25,Vehicle Theft,?,Minor Damage,Police,NY,Northbrook,5445 Tree Hwy,9,1,YES,1,3,YES,5500,1100,550,3850,Chevrolet,Tahoe,2010,N,Middle Aged,Long-Term Client,19.833333333333332,29512.0,24012.0
188,81,25,524230,2014-02-23,IN,100/300,500,920,5000000,461958,FEMALE,High School,tech-support,hiking,own-child,51000,-67900,2015-02-21,Multi-vehicle Collision,Rear Collision,Major Damage,Other,WV,Hillsdale,9730 2nd Hwy,11,3,?,1,0,?,73920,13440,6720,53760,Honda,Civic,2003,Y,Young Adult,Established Client,6.75,6210.0,-67710.0
189,128,28,438817,2007-11-16,OH,500/1000,1000,986,0,472720,FEMALE,High School,adm-clerical,polo,other-relative,62700,0,2015-02-16,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,VA,Columbus,7819 Oak St,11,1,NO,0,2,YES,101860,18520,18520,64820,Honda,CRV,2007,N,Young Adult,Established Client,10.666666666666666,10517.333333333334,-91342.66666666667
190,449,57,293794,1999-04-17,OH,250/500,2000,1440,0,442395,MALE,Associate,tech-support,movies,own-child,25000,0,2015-02-09,Parked Car,?,Minor Damage,None,SC,Riverwood,1845 Best St,8,1,YES,0,1,YES,5390,980,980,3430,Volkswagen,Passat,2008,N,Elderly,Long-Term Client,37.416666666666664,53880.0,48490.0
191,252,39,868283,2006-02-06,IN,250/500,1000,1086,0,455340,MALE,JD,farming-fishing,hiking,unmarried,68500,-57500,2015-02-13,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Springfield,2500 Tree St,18,1,?,1,2,?,50490,5610,5610,39270,Nissan,Maxima,2001,N,Middle Aged,Long-Term Client,21.0,22806.0,-27684.0
192,359,47,828890,1993-10-20,OH,100/300,2000,1367,0,613247,FEMALE,MD,handlers-cleaners,basketball,unmarried,0,0,2015-01-11,Single Vehicle Collision,Front Collision,Total Loss,Police,SC,Arlington,6955 Pine Drive,13,1,NO,0,3,NO,55500,5550,11100,38850,Mercedes,C300,2012,N,Middle Aged,Long-Term Client,29.916666666666668,40896.083333333336,-14603.916666666664
193,19,32,882920,2006-01-01,OH,500/1000,1000,1215,0,454985,MALE,High School,other-service,hiking,husband,42900,-90200,2015-01-02,Vehicle Theft,?,Minor Damage,Police,VA,Hillsdale,6165 Rock Ridge,8,1,YES,1,1,YES,7040,1280,640,5120,Nissan,Maxima,2015,N,Middle Aged,New Client,1.5833333333333333,1923.75,-5116.25
194,73,26,918777,2003-04-04,IL,250/500,2000,1191,4000000,468813,MALE,MD,farming-fishing,basketball,not-in-family,29300,0,2015-02-12,Multi-vehicle Collision,Rear Collision,Total Loss,Other,VA,Northbrook,3653 Elm Drive,9,3,?,0,1,YES,40160,5020,0,35140,Chevrolet,Tahoe,2003,N,Young Adult,Established Client,6.083333333333333,7245.25,-32914.75
195,285,44,212580,2014-07-05,IL,500/1000,1000,1594,0,452747,MALE,High School,handlers-cleaners,bungie-jumping,husband,0,0,2015-02-05,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NC,Columbus,5812 3rd Hwy,17,2,YES,2,3,NO,55680,6960,6960,41760,Saab,95,2006,N,Middle Aged,Long-Term Client,23.75,37857.5,-17822.5
196,196,36,602410,1996-01-16,IN,250/500,2000,1463,0,615611,MALE,MD,armed-forces,skydiving,own-child,0,0,2015-01-24,Vehicle Theft,?,Trivial Damage,Police,WV,Springfield,4939 Best St,3,1,?,1,1,NO,5300,530,530,4240,Jeep,Grand Cherokee,2001,Y,Middle Aged,Long-Term Client,16.333333333333332,23895.666666666668,18595.666666666668
197,223,43,976971,2002-04-19,OH,250/500,500,1734,0,451400,FEMALE,MD,adm-clerical,camping,not-in-family,0,0,2015-01-12,Parked Car,?,Trivial Damage,None,WV,Arlington,4964 Elm Lane,6,1,YES,0,3,?,5200,650,650,3900,Accura,MDX,2006,N,Middle Aged,Long-Term Client,18.583333333333332,32223.5,27023.5
198,328,48,630226,2005-12-10,IL,250/500,500,1411,0,464874,MALE,Masters,armed-forces,bungie-jumping,own-child,45100,-32800,2015-01-16,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Riverwood,9588 Solo St,17,1,YES,2,1,NO,59400,5940,11880,41580,Honda,Civic,2014,N,Middle Aged,Long-Term Client,27.333333333333332,38567.33333333333,-20832.66666666667
199,285,43,171254,1994-11-07,OH,100/300,2000,1512,0,452496,FEMALE,College,sales,paintball,other-relative,47600,0,2015-01-13,Vehicle Theft,?,Minor Damage,Police,SC,Arlington,8718 Apache Lane,7,1,?,1,1,?,2520,280,280,1960,BMW,3 Series,1997,N,Middle Aged,Long-Term Client,23.75,35910.0,33390.0
200,30,31,247116,2012-06-02,IL,250/500,2000,1153,0,430714,MALE,PhD,craft-repair,golf,not-in-family,0,0,2015-02-02,Vehicle Theft,?,Trivial Damage,Police,NY,Hillsdale,3590 Best Hwy,9,1,NO,2,1,YES,5760,960,960,3840,Suburu,Impreza,2011,N,Middle Aged,Established Client,2.5,2882.5,-2877.5
201,342,49,505969,1998-04-07,OH,250/500,500,1722,0,472634,MALE,PhD,transport-moving,base-jumping,not-in-family,63100,-13800,2015-02-28,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,WV,Hillsdale,6149 Best Ridge,3,1,?,2,0,YES,76700,7670,7670,61360,Suburu,Legacy,2006,N,Middle Aged,Long-Term Client,28.5,49077.0,-27623.0
202,219,39,653864,2007-04-25,IN,250/500,2000,1281,7000000,608371,FEMALE,High School,protective-serv,board-games,unmarried,0,0,2015-01-18,Parked Car,?,Trivial Damage,Police,NY,Springfield,4116 Embaracadero Lane,6,1,NO,0,2,NO,5920,740,740,4440,Chevrolet,Malibu,2015,N,Middle Aged,Long-Term Client,18.25,23378.25,17458.25
203,468,62,586367,2000-06-30,IL,100/300,500,1011,0,468168,MALE,PhD,machine-op-inspct,paintball,wife,0,0,2015-02-15,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,SC,Riverwood,3486 Flute Ave,7,3,YES,0,3,?,52767,7150,7150,50050,Chevrolet,Tahoe,2009,N,Elderly,Long-Term Client,39.0,39429.0,-13338.0
204,241,39,896890,1996-06-04,IL,250/500,2000,1042,0,464107,MALE,JD,sales,kayaking,husband,0,0,2015-01-31,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,WV,Northbend,5994 5th Ave,21,3,NO,1,2,?,19080,4240,2120,12720,Saab,93,1995,N,Middle Aged,Long-Term Client,20.083333333333332,20926.833333333332,1846.8333333333321
205,223,43,650026,2009-05-09,OH,500/1000,500,1235,0,466959,FEMALE,Masters,tech-support,exercise,not-in-family,66400,-34400,2015-02-10,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Springfield,9138 3rd St,14,1,NO,2,1,NO,54400,5440,5440,43520,BMW,M5,2011,N,Middle Aged,Long-Term Client,18.583333333333332,22950.416666666668,-31449.583333333332
206,128,32,547744,2001-07-08,OH,100/300,2000,768,0,443522,FEMALE,College,sales,chess,other-relative,0,-39300,2015-02-26,Single Vehicle Collision,Rear Collision,Total Loss,Fire,SC,Columbus,3743 Andromedia Ridge,0,1,?,1,0,NO,59800,5980,5980,47840,Ford,F150,1999,Y,Middle Aged,Established Client,10.666666666666666,8192.0,-51608.0
207,124,29,598124,1993-09-20,OH,500/1000,500,1301,0,441726,MALE,Masters,handlers-cleaners,golf,husband,0,0,2015-02-25,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Springfield,7644 Tree Ridge,14,3,?,0,3,YES,72000,7200,7200,57600,Audi,A3,2005,N,Young Adult,Established Client,10.333333333333334,13443.666666666668,-58556.33333333333
208,343,48,436126,2009-11-03,IN,250/500,500,1451,3000000,473412,MALE,JD,adm-clerical,hiking,husband,0,0,2015-01-08,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Riverwood,3167 2nd St,13,4,NO,2,3,NO,65070,7230,14460,43380,Mercedes,C300,2003,N,Middle Aged,Long-Term Client,28.583333333333332,41474.41666666667,-23595.58333333333
209,404,53,739447,2014-12-10,IN,250/500,500,767,0,466201,MALE,Associate,sales,reading,not-in-family,25500,-36700,2015-01-14,Parked Car,?,Trivial Damage,Police,WV,Columbus,3327 Lincoln Drive,8,1,NO,0,1,NO,8800,1760,880,6160,Suburu,Legacy,2002,N,Middle Aged,Long-Term Client,33.666666666666664,25822.333333333332,17022.333333333332
210,63,24,427484,1994-01-08,OH,250/500,2000,1620,0,469621,FEMALE,High School,handlers-cleaners,movies,other-relative,0,0,2015-02-03,Vehicle Theft,?,Minor Damage,Police,NC,Hillsdale,8621 Best Ridge,7,1,NO,2,0,NO,6120,1020,1020,4080,Toyota,Corolla,2015,N,Young Adult,Established Client,5.25,8505.0,2385.0
211,210,37,218684,2006-08-05,IN,500/1000,2000,1048,0,466676,MALE,High School,priv-house-serv,skydiving,not-in-family,59900,0,2015-01-05,Vehicle Theft,?,Trivial Damage,None,OH,Columbus,3878 Tree Lane,9,1,?,1,2,?,7080,1180,590,5310,Dodge,RAM,1999,N,Middle Aged,Long-Term Client,17.5,18340.0,11260.0
212,335,50,565564,2007-02-07,OH,100/300,1000,1538,6000000,615346,MALE,High School,sales,yachting,other-relative,62200,-31400,2015-01-24,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NY,Riverwood,9760 Solo Lane,12,3,YES,2,3,YES,34320,8580,4290,21450,Volkswagen,Passat,2009,N,Middle Aged,Long-Term Client,27.916666666666668,42935.83333333333,8615.833333333328
213,11,40,743163,2001-04-09,OH,500/1000,2000,1217,0,440106,FEMALE,MD,prof-specialty,reading,wife,24000,0,2015-01-26,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Springfield,9138 1st St,6,3,?,1,0,?,53460,9720,9720,34020,Dodge,Neon,2004,Y,Middle Aged,New Client,0.9166666666666666,1115.5833333333335,-52344.416666666664
214,142,33,604614,1995-02-17,IN,100/300,2000,1362,5000000,450332,FEMALE,JD,exec-managerial,cross-fit,wife,0,0,2015-01-21,Single Vehicle Collision,Side Collision,Total Loss,Other,NC,Columbus,3414 Elm Ave,11,1,YES,1,3,?,81360,6780,13560,61020,Suburu,Legacy,2009,Y,Middle Aged,Established Client,11.833333333333334,16117.0,-65243.0
215,272,43,509928,1995-07-25,OH,100/300,1000,1279,0,615226,MALE,PhD,craft-repair,bungie-jumping,other-relative,0,0,2015-02-06,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Springfield,3172 Tree Ridge,5,3,?,1,2,YES,81070,7370,14740,58960,Audi,A3,2006,Y,Middle Aged,Long-Term Client,22.666666666666668,28990.666666666664,-52079.333333333336
216,69,26,593390,2006-03-24,IL,100/300,2000,924,0,437688,FEMALE,High School,machine-op-inspct,base-jumping,unmarried,0,0,2015-01-07,Single Vehicle Collision,Front Collision,Minor Damage,Fire,NY,Columbus,6104 Oak Ave,14,1,NO,2,2,NO,63120,5260,10520,47340,Audi,A5,2008,N,Young Adult,Established Client,5.75,5313.0,-57807.0
217,38,28,970607,1995-03-28,OH,250/500,1000,1019,0,437387,MALE,Masters,transport-moving,yachting,not-in-family,0,-39700,2015-02-10,Vehicle Theft,?,Trivial Damage,None,NC,Springfield,9742 5th Ridge,17,1,?,2,1,NO,7200,1440,720,5040,BMW,X5,2004,N,Young Adult,Established Client,3.1666666666666665,3226.8333333333335,-3973.1666666666665
218,328,46,174701,1996-06-19,IL,500/1000,500,1314,0,458139,FEMALE,MD,prof-specialty,exercise,not-in-family,24800,0,2015-02-23,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Hillsdale,8782 3rd St,0,1,?,2,3,?,70290,12780,6390,51120,Saab,92x,1998,Y,Middle Aged,Long-Term Client,27.333333333333332,35916.0,-34374.0
219,281,43,529398,1993-06-16,OH,100/300,1000,1515,6000000,443191,MALE,College,priv-house-serv,camping,other-relative,0,0,2015-01-09,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,SC,Northbrook,9798 Sky Ridge,21,3,NO,1,0,NO,60190,9260,9260,41670,BMW,X6,1999,N,Middle Aged,Long-Term Client,23.416666666666668,35476.25,-24713.75
220,246,44,940942,2001-07-11,OH,250/500,2000,1649,0,613647,MALE,College,farming-fishing,base-jumping,other-relative,0,-58600,2015-02-22,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Hillsdale,5483 Francis Drive,18,1,YES,1,2,YES,61380,11160,5580,44640,Honda,Civic,2009,Y,Middle Aged,Long-Term Client,20.5,33804.5,-27575.5
221,298,49,442677,2008-11-22,OH,250/500,500,1451,0,460820,FEMALE,College,other-service,exercise,own-child,47800,0,2015-02-21,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Springfield,2005 Texas Hwy,17,1,NO,2,2,NO,28100,2810,5620,19670,Jeep,Grand Cherokee,2012,N,Middle Aged,Long-Term Client,24.833333333333332,36033.16666666667,7933.1666666666715
222,330,50,365364,2002-12-28,IL,500/1000,1000,978,0,431121,FEMALE,High School,sales,yachting,husband,0,0,2015-02-04,Single Vehicle Collision,Side Collision,Total Loss,Fire,NY,Hillsdale,6634 Texas Ridge,19,1,YES,0,0,NO,49060,8920,8920,31220,Chevrolet,Silverado,1995,N,Middle Aged,Long-Term Client,27.5,26895.0,-22165.0
223,362,50,114839,2006-01-01,IL,250/500,500,1198,4000000,619735,MALE,Associate,sales,board-games,wife,53000,-72500,2015-01-07,Multi-vehicle Collision,Side Collision,Total Loss,Fire,NY,Columbus,8655 Cherokee Lane,17,3,?,1,1,NO,57060,6340,6340,44380,Mercedes,E400,1995,N,Middle Aged,Long-Term Client,30.166666666666668,36139.666666666664,-20920.333333333336
224,241,38,872734,1990-05-19,IN,100/300,2000,1003,0,470485,FEMALE,Associate,tech-support,kayaking,not-in-family,0,0,2015-01-17,Multi-vehicle Collision,Side Collision,Major Damage,Fire,VA,Arlington,4955 Lincoln Ridge,23,3,?,0,3,YES,77880,12980,12980,51920,Accura,MDX,2008,N,Middle Aged,Long-Term Client,20.083333333333332,20143.583333333332,-57736.41666666667
225,245,41,267885,2013-08-26,IN,500/1000,2000,1212,0,620473,MALE,Masters,exec-managerial,basketball,unmarried,24400,-60500,2015-01-28,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,NY,Springfield,7705 Best Ridge,4,1,YES,0,1,YES,73500,7350,14700,51450,Jeep,Wrangler,1999,N,Middle Aged,Long-Term Client,20.416666666666668,24745.0,-48755.0
226,371,52,740505,1997-10-12,IL,250/500,1000,1242,7000000,449800,FEMALE,High School,other-service,paintball,own-child,0,-37100,2015-02-22,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,NY,Riverwood,5838 Pine Lane,2,2,YES,2,0,?,88920,6840,13680,68400,Accura,RSX,2010,N,Middle Aged,Long-Term Client,30.916666666666668,38398.5,-50521.5
227,343,52,629663,2002-01-21,IL,500/1000,1000,1053,0,602402,FEMALE,Associate,prof-specialty,bungie-jumping,not-in-family,0,0,2015-02-16,Single Vehicle Collision,Front Collision,Major Damage,Other,NY,Arlington,7331 Sky Hwy,2,1,?,0,2,NO,47630,12990,4330,30310,Toyota,Corolla,2005,Y,Middle Aged,Long-Term Client,28.583333333333332,30098.25,-17531.75
228,377,53,839884,1996-09-02,IL,100/300,500,1693,0,452456,FEMALE,MD,craft-repair,kayaking,unmarried,0,-64000,2015-02-17,Multi-vehicle Collision,Front Collision,Total Loss,Fire,WV,Hillsdale,5640 Embaracadero Lane,10,3,YES,1,3,NO,59040,6560,6560,45920,Saab,93,2015,N,Middle Aged,Long-Term Client,31.416666666666668,53188.41666666667,-5851.5833333333285
229,154,37,241562,2010-01-28,IL,250/500,1000,2047,0,439269,FEMALE,MD,farming-fishing,dancing,other-relative,0,-67800,2015-01-09,Single Vehicle Collision,Rear Collision,Minor Damage,Other,SC,Columbus,9610 Cherokee St,2,1,?,0,3,NO,79530,14460,7230,57840,Accura,MDX,2000,N,Middle Aged,Long-Term Client,12.833333333333334,26269.833333333336,-53260.166666666664
230,166,34,405533,2014-10-03,OH,100/300,1000,1083,0,617774,FEMALE,High School,machine-op-inspct,base-jumping,wife,65600,-68200,2015-02-09,Single Vehicle Collision,Side Collision,Total Loss,,NY,Columbus,3550 Washington Ave,18,1,NO,0,2,YES,53680,4880,4880,43920,Honda,CRV,2005,N,Middle Aged,Long-Term Client,13.833333333333334,14981.5,-38698.5
231,298,46,667021,2007-05-02,OH,500/1000,1000,1138,6000000,477678,MALE,JD,prof-specialty,dancing,own-child,36900,-55000,2015-02-16,Single Vehicle Collision,Side Collision,Minor Damage,Police,SC,Arlington,5277 Texas Lane,18,1,NO,2,3,YES,33550,3050,6100,24400,Volkswagen,Passat,2005,N,Middle Aged,Long-Term Client,24.833333333333332,28260.333333333332,-5289.666666666668
